candidate_id;display_name;party;twitter_handle;instagram_handle;tiktok_handle;linkedin_handle;active;priority
sophia_chikirou;Sophia Chikirou;LFI;chikirouparis;sophia.chikirou;sophiachikirou;;1;1
emmanuel_gregoire;Emmanuel Gregoire;PS;egregoire;emmanuelgregoire;;;1;1
