candidate_id;candidate_label;tweet_id;timestamp;text;likes;comments;shares;topic_manual;sentiment_manual;notes
sophia_chikirou;S. Chikirou (LFI);twitter_2002141840502309163;2025-12-19T22:19:00+00:00;Mes pensées pour les Palestiniens de Gaza. Pas un jour ne passe sans massacres par l'armée israélienne. L'aide humanitaire manque, Gaza est toujours sous blocus, Israël poursuit la colonisation et le nettoyage éthnique. Impossible de renoncer à résister. Free Palestine !;1840;0;759;;;
sophia_chikirou;S. Chikirou (LFI);twitter_1927127097438253261;2025-05-26T22:17:00+00:00;Nous dénonçons la régression écologique et sanitaire que représente la loi Duplomb qui prétend autoriser l'usage de pesticides extrêmement dangereux pour la santé. Au moment où l'alerte est lancée - hausse sans précédent des cancers digestifs liés aux pesticides, et à l'alimentation industrielle -, des macronistes au RN en passant par les LR, ils font le choix d'empoisonner sans permettre le débat à l'assemblée nationale. Ils empêchent le débat pour dissimuler leurs actes. Lâches et dangereux. C'est un scandale qui coûtera des vies.;397;0;144;;;
sophia_chikirou;S. Chikirou (LFI);twitter_1878442847285711223;2025-01-12T14:04:00+00:00;Limpide !;372;2;113;;;
sophia_chikirou;S. Chikirou (LFI);twitter_2009289946004136324;2026-01-08T15:43:00+00:00;🔴 Hier, lancement de campagne de @carolinemecary dans le 12e arrondissement. Salle comble pour se battre pour les droits universels, mettre fin au sans abrisme et à la spéculation immobilière. ✊ Avec @GaccioB, candidat dans le 7e face à Rachida Dati, et @chikirouparis.;267;62;110;;;
sophia_chikirou;S. Chikirou (LFI);twitter_1950933797597249788;2025-07-31T14:57:00+00:00;"🟣 L’obscurantisme et l’égoïsme de l’extrême-droite américaine, c’est la destruction de millions de contraceptifs féminins destinés à l’aide humanitaire. Forçons Macron à saisir ces produits pour les distribuer ! Signez ⬇️
change.org/p/emp%C3%AAchons-…";229;198;103;;;
sophia_chikirou;S. Chikirou (LFI);twitter_1975230391838531606;2025-10-06T16:03:00+00:00;Ce matin, la France insoumise a proposé que puisse se tenir rapidement une réunion des composantes fondatrices de la NUPES et du NFP pour envisager toutes les hypothèses ouvertes par la situation politique inédite que nous connaissons. Depuis lors, la France insoumise s’est entretenue avec plusieurs d’entre elles afin de permettre l’organisation de cette réunion. Une rencontre a eu lieu avec une délégation d’EELV menée par Marine Tondelier : nous nous sommes accordés sur la nécessité que puisse se tenir cette réunion dans les plus brefs délais. De même, nous avons pu échanger avec Stéphane Peu, le président du groupe GDR (communistes et ultra-marins) qui nous a dit sa totale disponibilité pour participer à une telle réunion. Enfin, le parti Génération.s a également communiqué son soutien à notre initiative. De son côté, le Parti Socialiste refuse à ce stade une telle réunion. Nous alertons sur l’irresponsabilité de ceux qui refusent de se hisser à la hauteur de l’histoire au moment où notre pays connait une crise politique sans précédent. Fidèle à notre volonté de permettre un large rassemblement sur la base du programme de rupture du Nouveau Front Populaire, nous proposons donc que cette réunion puisse se tenir ce mardi matin.;5241;253;1147;;;
sophia_chikirou;S. Chikirou (LFI);twitter_1993975676244803989;2025-11-27T09:30:00+00:00;🔴⚡️ Victoire à l'unanimité de notre résolution visant à refuser l'accord du Mercosur ! 🔥 Ce vote doit être vu comme un mandat des représentants du peuple au Président de la République. Le Gouvernement doit maintenant agir. #ChangerLavie;109;2;56;;;
sophia_chikirou;S. Chikirou (LFI);twitter_2021365523615739950;2026-02-10T23:27:00+00:00;L'Assemblée nationale a voté mais @EmmanuelMacron le nie. Cet homme est plus dangereux pour la démocratie que l'extrême-gauche. @Aurelien_Le_Coq est membre de la Commission des Finances, il a été notre chef de file du le PLF. C'est une grande fierté de le voir défendre l'honneur des députés et de la représentation nationale quand les autres députés de droite et d'extrême-droite s'écrasent et versent des larmes de crocodiles sur le sort des travailleurs. A bas l'hypocrisie de leur monde pourri !;762;0;246;;;
sophia_chikirou;S. Chikirou (LFI);twitter_2017329643716501997;2026-01-30T20:10:00+00:00;« Au parlement, les écologistes votent la censure du gouvernement @SebLecornu, contrairement au PS. Mais pour les municipales, les écologistes se rangent derrière les socialistes. De plus en plus d’écologistes portent cette critique et préfèrent la rupture à la social écologie. » @JGleizes, vice-président du groupe écologiste au Conseil de Paris, explique le choix d’une partie des écologistes de rejoindre la liste conduite par #SophiaPourParis;854;23;284;;;
sophia_chikirou;S. Chikirou (LFI);twitter_1996614730228846902;2025-12-04T16:17:00+00:00;Avec le Nouveau Paris Populaire nous proposons un plan d'Éducation communale pour un périscolaire de qualité et un plan logement pour baisser les loyers ! 🗳 Rendez-vous les 15 & 22 mars 2026 et sur : sophiapourparis.fr;477;28;160;;;
sophia_chikirou;S. Chikirou (LFI);twitter_1948470609664459139;2025-07-24T19:49:00+00:00;URGENT Toutes les communications internet avec le Handala ont été coupées. Nous avons perdu le contact avec Emma et l’équipage. Partagez et interpellez les autorités pour assurer la sécurité de l'équipage. @EmmanuelMacron @jnbarrot;7734;1895;4809;;;
sophia_chikirou;S. Chikirou (LFI);twitter_2023718769160319435;2026-02-17T11:18:00+00:00;Pour le logement : nous allons consacrer 260 millions de plus, 29 % de nouvelles dépenses. Nous allons baisser les loyers, créer une régie publique de gestion locative, tripler la brigade du droit au logement et augmenter l'aide au logement pour aider les gens à sortir de la pauvreté. En aidant les gens sur la première année nous mènerons une politique du logement qui permettra aux Parisiens de voir leur loyer baisser, de respirer, de remettre des logements sur le marché. #ChiffrageParisPopulaire;37;0;11;;;
sophia_chikirou;S. Chikirou (LFI);twitter_2023707819812282612;2026-02-17T10:35:00+00:00;Il y a d'autres urgences comme la santé. Nous sommes aussi les seuls à avoir un plan démocratie pour redonner le pouvoir aux Parisiens. #ChiffrageParisPopulaire;49;4;17;;;
sophia_chikirou;S. Chikirou (LFI);twitter_1970238602702405707;2025-09-22T21:27:00+00:00;"Belle émotion devant l'écran en voyant le français, joueur du PSG, Ousmane Dembélé recevoir le ballon d'or. Et Ousmane Ballon d'or 🎶
#DembeleBallonDor";109;0;24;;;
sophia_chikirou;S. Chikirou (LFI);twitter_2017557075451150441;2026-01-31T11:14:00+00:00;Nous allons faire de Paris la première ville insoumise de France ! En 2 mois et demi de campagne, les insoumis sont partout à Paris, pour mener campagne, rencontrer des associations et collectifs, tenir des réunions publiques… Nous sommes la force !;495;98;171;;;
sophia_chikirou;S. Chikirou (LFI);twitter_1991101679953907997;2025-11-19T11:10:00+00:00;"""En l'espace de plusieurs décennies, la monoparentalité est devenue un fait social majeur en France. Alors que seulement une famille sur dix avec au moins un enfant de moins de 25 ans était monoparentale en 1970, elle représente aujourd'hui une famille sur quatre."" #ChangerLaVie";97;3;32;;;
sophia_chikirou;S. Chikirou (LFI);twitter_2011403540410044504;2026-01-14T11:42:00+00:00;« On vous attend, on a besoin de changement ! » Nous écouterons réellement les besoins des parisiens, nous sortirons des années de mépris que subissent les parisiens depuis trop longtemps. Rendez-vous le 30 janvier pour notre meeting avec @mbompard ! #Paris #Barbès;291;22;112;;;
sophia_chikirou;S. Chikirou (LFI);twitter_2015003564389830790;2026-01-24T10:07:00+00:00;Rdv à 14h pour le colloque de l'ILB : j'animerai un débat avec les représentants de la @capeb_fr et de la @CNAMS_france, deux confédérations puissantes de l'artisanat, du bâtiment et des métiers de services. Le thème : quelles sont les vraies difficultés des petites entreprises ?;194;0;86;;;
sophia_chikirou;S. Chikirou (LFI);twitter_1941037586048602165;2025-07-04T07:33:00+00:00;Battons nous pour une langue française telle qu’elle est : créolisée, en partage, en commun.;245;0;95;;;
sophia_chikirou;S. Chikirou (LFI);twitter_1953823929895641441;2025-08-08T14:21:00+00:00;Le droit international contre la barbarie :;163;0;57;;;
sophia_chikirou;S. Chikirou (LFI);twitter_1996987848709283851;2025-12-05T16:59:00+00:00;Violences obstétricales et gynécologiques : 2 avancées dans le budget de la sécu Mes deux amendements ont été adoptés pour prévenir les risques, puis mieux écouter et protéger les patientes: ✅ Création d’un guichet national dans Mon Espace Santé pour signaler — même anonymement — les violences ou incidents gynéco-obstétricaux, avec une véritable orientation des victimes. ✅ Formation prioritaire pendant 4 ans des professionnel·les de santé à l’écoute, au consentement et à la prévention des violences obstétricales. #VOG #Féminisme;225;36;90;;;
sophia_chikirou;S. Chikirou (LFI);twitter_1927731433344323777;2025-05-28T14:19:00+00:00;"""Du mauvais côté du règlement, mais du bon côté de l'Histoire"". #StopGenocideGAZA";412;0;124;;;
