key,echo_score,exclusive_pct,cross_camp_pct,n_audience,pct_hostilite,pct_ironie,nsi_mean
Knafo,88.1,81.8,11.9,10602,20.1428,8.7828,15.42
Chikirou,77.7,74.6,22.3,701,35.82944444444444,16.25111111111111,-29.862222222222222
Dati,77.1,61.2,22.9,4184,19.71142857142857,8.398095238095237,2.036190476190476
Gregoire,67.5,61.2,32.5,551,9.23157894736842,8.788421052631579,19.58684210526316
Brossat,62.2,60.6,37.8,1340,36.81888888888889,9.72888888888889,-24.81277777777778
Bournazel,58.2,58.2,41.8,2612,14.08357142857143,7.147142857142858,16.87142857142857
Mariani,57.4,57.4,42.6,1720,25.441,4.734,-1.6989999999999994
Belliard,52.5,49.7,47.5,1279,15.19157894736842,7.338421052631579,7.194736842105263
