author,dominant_candidate,dominant_camp,n_candidates_engaged,candidates_list,eng_david_belliard,eng_emmanuel_gregoire,eng_ian_brossat,eng_pierre_yves_bournazel,eng_rachida_dati,eng_sarah_knafo,eng_sophia_chikirou,eng_thierry_mariani,community,comm_dominant_candidate
mareso1963,sarah_knafo,Droite,2,"pierre_yves_bournazel,sarah_knafo",0,0,0,1,0,1,0,0,sarah_knafo,sarah_knafo
margot40247,ian_brossat,Gauche radicale,2,"david_belliard,ian_brossat",1,0,1,0,0,0,0,0,ian_brossat,ian_brossat
margotte57000,pierre_yves_bournazel,Centre-droit,2,"pierre_yves_bournazel,sarah_knafo",0,0,0,1,0,1,0,0,pierre_yves_bournazel,pierre_yves_bournazel
maria_andy2,rachida_dati,Droite,2,"rachida_dati,sarah_knafo",0,0,0,0,1,1,0,0,rachida_dati,rachida_dati
mariawe30453357,pierre_yves_bournazel,Centre-droit,3,"pierre_yves_bournazel,rachida_dati,sarah_knafo",0,0,0,1,1,1,0,0,pierre_yves_bournazel,pierre_yves_bournazel
marie19111962,sarah_knafo,Droite,2,"rachida_dati,sarah_knafo",0,0,0,0,1,1,0,0,sarah_knafo,sarah_knafo
marie85945855,sarah_knafo,Droite,3,"rachida_dati,sarah_knafo,thierry_mariani",0,0,0,0,1,1,0,1,sarah_knafo,sarah_knafo
marie_angele,sarah_knafo,Droite,2,"rachida_dati,sarah_knafo",0,0,0,0,1,1,0,0,sarah_knafo,sarah_knafo
marie_cigale,thierry_mariani,Extreme droite,2,"pierre_yves_bournazel,thierry_mariani",0,0,0,1,0,0,0,1,thierry_mariani,thierry_mariani
marie_scudier,pierre_yves_bournazel,Centre-droit,2,"pierre_yves_bournazel,rachida_dati",0,0,0,1,1,0,0,0,pierre_yves_bournazel,pierre_yves_bournazel
marieallanick,thierry_mariani,Extreme droite,2,"sarah_knafo,thierry_mariani",0,0,0,0,0,1,0,1,thierry_mariani,thierry_mariani
mariejo78573071,rachida_dati,Droite,2,"rachida_dati,thierry_mariani",0,0,0,0,1,0,0,1,rachida_dati,rachida_dati
mariellede66668,rachida_dati,Droite,2,"pierre_yves_bournazel,rachida_dati",0,0,0,1,1,0,0,0,rachida_dati,rachida_dati
mariemagda6,pierre_yves_bournazel,Centre-droit,2,"pierre_yves_bournazel,rachida_dati",0,0,0,1,1,0,0,0,pierre_yves_bournazel,pierre_yves_bournazel
marieramboz,sarah_knafo,Droite,3,"ian_brossat,rachida_dati,sarah_knafo",0,0,1,0,1,1,0,0,sarah_knafo,sarah_knafo
marinade67805,sarah_knafo,Droite,3,"david_belliard,rachida_dati,sarah_knafo",1,0,0,0,1,1,0,0,sarah_knafo,sarah_knafo
marinanana93943,sarah_knafo,Droite,4,"pierre_yves_bournazel,rachida_dati,sarah_knafo,thierry_mariani",0,0,0,1,1,1,0,1,sarah_knafo,sarah_knafo
mariylala,thierry_mariani,Extreme droite,3,"david_belliard,sarah_knafo,thierry_mariani",1,0,0,0,0,1,0,1,thierry_mariani,thierry_mariani
marjeta605,ian_brossat,Gauche radicale,3,"emmanuel_gregoire,ian_brossat,sophia_chikirou",0,1,1,0,0,0,1,0,ian_brossat,ian_brossat
marlym2277,sophia_chikirou,Gauche radicale,2,"rachida_dati,sophia_chikirou",0,0,0,0,1,0,1,0,sophia_chikirou,sophia_chikirou
marmusejenny,thierry_mariani,Extreme droite,2,"sarah_knafo,thierry_mariani",0,0,0,0,0,1,0,1,thierry_mariani,thierry_mariani
marocanar,ian_brossat,Gauche radicale,2,"ian_brossat,pierre_yves_bournazel",0,0,1,1,0,0,0,0,ian_brossat,ian_brossat
marrejean4142,rachida_dati,Droite,2,"pierre_yves_bournazel,rachida_dati",0,0,0,1,1,0,0,0,rachida_dati,rachida_dati
marryal,pierre_yves_bournazel,Centre-droit,2,"pierre_yves_bournazel,rachida_dati",0,0,0,1,1,0,0,0,pierre_yves_bournazel,pierre_yves_bournazel
mars9578,sarah_knafo,Droite,2,"david_belliard,sarah_knafo",1,0,0,0,0,1,0,0,sarah_knafo,sarah_knafo
martinamart75,rachida_dati,Droite,3,"pierre_yves_bournazel,rachida_dati,sarah_knafo",0,0,0,1,1,1,0,0,rachida_dati,rachida_dati
martine69085607,rachida_dati,Droite,2,"pierre_yves_bournazel,rachida_dati",0,0,0,1,1,0,0,0,rachida_dati,rachida_dati
martine_live,sarah_knafo,Droite,2,"pierre_yves_bournazel,sarah_knafo",0,0,0,1,0,1,0,0,sarah_knafo,sarah_knafo
martinefre5964,sarah_knafo,Droite,2,"pierre_yves_bournazel,sarah_knafo",0,0,0,1,0,1,0,0,sarah_knafo,sarah_knafo
martinepr2,sarah_knafo,Droite,2,"rachida_dati,sarah_knafo",0,0,0,0,1,1,0,0,sarah_knafo,sarah_knafo
martinl42544349,sarah_knafo,Droite,4,"ian_brossat,rachida_dati,sarah_knafo,thierry_mariani",0,0,1,0,1,1,0,1,sarah_knafo,sarah_knafo
martinmart299,rachida_dati,Droite,2,"pierre_yves_bournazel,rachida_dati",0,0,0,1,1,0,0,0,rachida_dati,rachida_dati
martintramb,sarah_knafo,Droite,2,"rachida_dati,sarah_knafo",0,0,0,0,1,1,0,0,sarah_knafo,sarah_knafo
martius_pistach,pierre_yves_bournazel,Centre-droit,2,"pierre_yves_bournazel,rachida_dati",0,0,0,1,1,0,0,0,pierre_yves_bournazel,pierre_yves_bournazel
martonola,rachida_dati,Droite,2,"pierre_yves_bournazel,rachida_dati",0,0,0,1,1,0,0,0,rachida_dati,rachida_dati
maryc7773,sarah_knafo,Droite,2,"pierre_yves_bournazel,sarah_knafo",0,0,0,1,0,1,0,0,sarah_knafo,sarah_knafo
marylyly9,thierry_mariani,Extreme droite,2,"sarah_knafo,thierry_mariani",0,0,0,0,0,1,0,1,thierry_mariani,thierry_mariani
marypoppins1104,sarah_knafo,Droite,2,"rachida_dati,sarah_knafo",0,0,0,0,1,1,0,0,sarah_knafo,sarah_knafo
marysearum,emmanuel_gregoire,Gauche,3,"emmanuel_gregoire,pierre_yves_bournazel,sophia_chikirou",0,1,0,1,0,0,1,0,emmanuel_gregoire,emmanuel_gregoire
maryseplanel,pierre_yves_bournazel,Centre-droit,2,"ian_brossat,pierre_yves_bournazel",0,0,1,1,0,0,0,0,pierre_yves_bournazel,pierre_yves_bournazel
mastagonzo,sarah_knafo,Droite,2,"rachida_dati,sarah_knafo",0,0,0,0,1,1,0,0,sarah_knafo,sarah_knafo
masterosine5,sarah_knafo,Droite,3,"pierre_yves_bournazel,rachida_dati,sarah_knafo",0,0,0,1,1,1,0,0,sarah_knafo,sarah_knafo
