key,label,nsi,ci_lo,ci_hi,n,n_host,n_sout,host_pct
Chikirou,Chikirou (LFI),-0.25094102885821834,-0.29865119196988704,-0.20200752823086573,797,316,116,39.64868255959849
Brossat,Brossat (PCF),-0.20867526377491208,-0.23858440797186398,-0.17878077373974208,1706,561,205,32.88393903868699
Belliard,Belliard (EELV),-0.13266384778012685,-0.16016120507399575,-0.10779598308668079,1892,495,244,26.162790697674417
Bournazel,Bournazel (Horizons),-0.10704578716286849,-0.12523520802843405,-0.08906021325527912,4783,1243,731,25.987873719422957
Dati,Dati (LR),-0.10366366366366367,-0.11748348348348348,-0.0894894894894895,8325,2108,1245,25.32132132132132
Mariani,Mariani (RN),-0.03806390977443609,-0.06484962406015038,-0.010338345864661654,2128,537,456,25.234962406015036
Gregoire,Grégoire (PS),0.03697996918335902,-0.01386748844375963,0.08782742681047766,649,121,145,18.64406779661017
Knafo,Knafo (Reconquête),0.1454789803032212,0.13670152450548065,0.15497144177061023,23811,5233,8697,21.977237411280502
