candidate_id,candidate_label,year_week,total_replies,pct_soutien,pct_hostilite,pct_critique,pct_ironie,pct_neutre,pct_negative
pierre_yves_bournazel,P-Y. Bournazel (Horizons),2025-W42,11,0.0909,0.0,0.0,0.0,0.9091,0.0
pierre_yves_bournazel,P-Y. Bournazel (Horizons),2025-W43,46,0.0217,0.0,0.0,0.0,0.9783,0.0
pierre_yves_bournazel,P-Y. Bournazel (Horizons),2025-W44,140,0.0286,0.0,0.0,0.0,0.9714,0.0
pierre_yves_bournazel,P-Y. Bournazel (Horizons),2025-W45,295,0.0237,0.0136,0.0169,0.0,0.9458,0.0136
pierre_yves_bournazel,P-Y. Bournazel (Horizons),2025-W46,201,0.0647,0.0,0.0,0.0,0.9353,0.0
pierre_yves_bournazel,P-Y. Bournazel (Horizons),2025-W47,84,0.0476,0.0595,0.0238,0.0238,0.8452,0.0833
pierre_yves_bournazel,P-Y. Bournazel (Horizons),2025-W48,184,0.0217,0.0217,0.0109,0.0109,0.9348,0.0326
pierre_yves_bournazel,P-Y. Bournazel (Horizons),2025-W49,229,0.0437,0.0087,0.0087,0.0,0.9389,0.0087
pierre_yves_bournazel,P-Y. Bournazel (Horizons),2025-W50,251,0.0558,0.0279,0.0398,0.0159,0.8606,0.0438
pierre_yves_bournazel,P-Y. Bournazel (Horizons),2025-W51,215,0.0233,0.0047,0.0093,0.0,0.9628,0.0047
pierre_yves_bournazel,P-Y. Bournazel (Horizons),2025-W52,74,0.0135,0.0405,0.0405,0.0135,0.8919,0.0541
pierre_yves_bournazel,P-Y. Bournazel (Horizons),2026-W01,121,0.0579,0.0331,0.0413,0.0083,0.8595,0.0413
pierre_yves_bournazel,P-Y. Bournazel (Horizons),2026-W02,291,0.0172,0.0137,0.0103,0.0103,0.9485,0.0241
pierre_yves_bournazel,P-Y. Bournazel (Horizons),2026-W03,3,0.0,0.0,0.0,0.0,1.0,0.0
pierre_yves_bournazel,P-Y. Bournazel (Horizons),2026-W04,107,0.028,0.0,0.0,0.0,0.972,0.0
pierre_yves_bournazel,P-Y. Bournazel (Horizons),2026-W05,177,0.1243,0.0113,0.0056,0.0,0.8588,0.0113
