week_start,year_week,key,candidate_label,z_global,top_post_text,top_post_engagement
2025-10-28,2025-W44,Bournazel,P-Y. Bournazel (Horizons),1.23,"Merci à @GabrielAttal, aux élus, cadres, adhérents et militants de @Renaissance pour leur confiance. Ensemble, nous porterons la dynamique du rassemblement et du changement positif à Paris. L’apaiseme | Tous derrière Pierre-Yves Bournazel ! | Paris a besoin d'une alternance.
Avec Pierre-Yves Bournazel, nous faisons le choix de l'apaisement et du renouvellement. Retrouvez l'interview de @franckriester dans les Échos ➡️ lesechos.fr/elections",1402
2025-11-03,2025-W45,Bournazel,P-Y. Bournazel (Horizons),2.39,"Pour que la France reparte et renoue avec la croissance, @EPhilippe_LH proposera aux Français une nouvelle politique économique de prospérité. Elle commencera par un deal fiscal d’une ampleur inédite  | Paris est la capitale mondiale de la mode, elle ne peut pas devenir la vitrine du modèle antiéthique SHEIN ! Un vêtement à 5 € c'est une conscience à zéro :
travail précaire, pollution massive, gaspil | Avec @GabrielAttal dans mon cher XVIIIe ! Merci cher Gabriel de ton précieux soutien. Merci aux Parisiennes et aux Parisiens de leur soutien, de leur engagement et de leurs idées pour préparer l",4207
2026-01-12,2026-W03,Bournazel,P-Y. Bournazel (Horizons),0.53,"J’apprends par la presse dominicale que Mme Dati refuserait de participer aux débats organisés par les chaînes de télévision pour l’élection municipale à Paris. Pour ma part, je ne conçois pas que l’o | Réponse très claire à @Knafo_Sarah qui parlait de moi ce matin sur @RTLFrance : jamais je ne m’allierai avec la candidate d’Eric Zemmour. Fidèle à l’enseignement du Président Chirac, jamais je ne m’al | POV : un mélenchoniste t'interpelle pendant le Congrès des VTC",1132
2025-03-16,2025-W11,Dati,R. Dati (LR),4.37,"Émilie Dequenne nous a quittés après s’être battue contre la maladie. Revélée dans Rosetta des frères Dardenne, ce rôle émouvant lui vaut d’être récompensée à Cannes à 17 ans. Nommée 5 fois aux César,",2231
2025-05-26,2025-W22,Dati,R. Dati (LR),1.15,"💙❤️💙
« Apres tant d’années de galères et de combats… » à Munich, cette nuit est rouge et bleu, aux couleurs de #Paris !
Bravo à toute l’équipe du @PSG_inside ! Champions d’Europe ! @LUISENRIQUE21 @Ach | Le Macronisme existe, la preuve : on discute de sa postérité. Rares sont ceux qui peuvent en dire autant. Mais l’essentiel demeure d’être concentrés sur nos missions pour répondre aux attentes et beso | Tous ensemble derrière les joueurs du @psg_inside ! On va ramener la Coupe à la Maison ! #PSGINT 💙❤️ #IciCestParis",11085
2025-07-28,2025-W31,Dati,R. Dati (LR),0.14,"La législative partielle dans la 2ᵉ circonscription de Paris est le combat d’un territoire que je sers depuis 15 ans et celui d’une capitale qu’il est temps de reconstruire avec ambition. Pour la prem | 🇲🇦 À l’occasion de la Fête du Trône, nous avons célébré à Paris l’intensité des liens qui unissent la France et le Maroc. Des liens qui reposent sur une histoire et une langue partagées, et une ambiti | En mars dernier, à plus de 2 500 m de profondeur au large de Ramatuelle, une mission de la @MarineNationale a révélé l’épave intacte d’un navire du XVIe siècle, chargée d'une importante cargaiso",6073
2025-10-07,2025-W41,Dati,R. Dati (LR),1.62,"N'oublions jamais. | Dans le 18ᵉ, à la rencontre des habitants abandonnés du boulevard Ney !
Partout, le même constat : logements sociaux délabrés, insécurité, saleté, commerce illégal.
Je suis venue leur dire qu’avec moi | Depuis 25 ans Anne Hidalgo & Emmanuel Grégoire ont vidé les caisses de Paris au détriment des investissements dans les écoles avec des drames à la clé dans le périscolaire!
12Mds de dette pour un Pari",10834
2025-12-23,2025-W52,Dati,R. Dati (LR),2.14,"3 femmes agressées au couteau dans le métro hier, le sacristain de La Madeleine molesté ce jour, par des individus sous OQTF. Mais la gauche à Paris demeure contre l’exécution des OQTF & s’oppose aux  | Noël arrive à Paris.
Le temps de se retrouver, de partager, de prendre le temps.
Un temps pour être ensemble et regarder l’avenir avec confiance.
Je souhaite à toutes les Parisiennes et à tous les Par | Soutien aux victimes, remerciements aux agents de la RATP & aux forces de l’ordre pour leur réactivité. Les Parisiens n’ont pas à subir l’insécurité au quotidien. Partout à #Paris, nous mettrons",7208
2025-12-29,2026-W01,Dati,R. Dati (LR),2.88,"Nouveau viol dans l'aide sociale à l'enfance parisienne sans réaction de la Ville de Paris!
La majorité Hidalgo-Grégoire ne nous a toujours pas transmis le rapport d'inspection sur l'ASE dont nous avo | Chères Parisiennes, chers Parisiens, Je vous souhaite à toutes et à tous une très belle année 2026. À cette occasion, je prends un engagement: celui de changer votre vie. En mieux. Je vais changer Par | Pour une personne isolée, l'infirmière est le seul contact humain qu'ils auront dans la journée. Et le temps perdu dans les embouteillages, c'est du temps de relation perdu. Je simplifierai la v",6311
2025-03-29,2025-W13,Knafo,S. Knafo (Reconquête),3.72,Merci à la @CocardeEtud de m’accueillir aujourd’hui pour fêter ses dix ans !,173831
2025-04-09,2025-W15,Knafo,S. Knafo (Reconquête),2.71,"Des professeurs chassés de leurs cours, des militants traqués sur les marchés, et maintenant des journalistes violentés à l’Assemblée nationale. Plus le réel nous donne raison, plus l’extrême gauche p | Soutien total aux journalistes de Frontières, en particulier à Louise Morice, honteusement agressée par des députés d’extrême gauche.",266429
2025-04-14,2025-W16,Knafo,S. Knafo (Reconquête),2.48,"Cette nuit et ce matin, 10 384 nouveaux baptisés rejoignent la famille catholique. C'est une belle et grande nouvelle pour notre pays et notre civilisation. Joyeuses Pâques à tous ! | Il est lamentable pour la France que nous soyons dans le même débat sur l’Algérie depuis des mois. C’est un pays qui n’est fort que de notre faiblesse. Si nous ne réglons pas la question, c’est unique | On vole l’argent des Français pour le dilapider dans des folies. Le réel niveau d’imposition des gens, c’est le montant de la dépense publique. L’endettement n’est qu’un impôt différé. Nous devons sor",796132
2025-04-30,2025-W18,Knafo,S. Knafo (Reconquête),2.4,"Vous, sur France Inter, quand des manifestations sont organisées contre l’«islamophobie », vous les célébrez. Mais quand Lola fut assassinée par une algérienne sous OQTF, vous avez dénoncé nos hommage | Pourquoi une minute de silence pour Nahel ou Aboubakar, mais pas pour Lola, Elias, Jerémie ou Thomas ? L'assassinat d'un innocent mérite toujours qu'on lui rende hommage. Il y a environ 1000 homicides | 🤯Sur France Inter on me demande si Bruno Retailleau est ""islamophobe et raciste"" car il se déplace pour le meurtre de Français mais pas pour un Malien... Dans ce cas, Jean-Luc Mélenchon est ""fra",1020699
2025-05-05,2025-W19,Knafo,S. Knafo (Reconquête),2.44,"Cher Julien Dray, je suis solidaire des agriculteurs français qui se suicident, pendant qu’on donne 800 millions pour ""les PME agricoles éthiopiennes"". Je suis solidaire des Français qui attendent 8h  | Demandons aux Français, si au lieu de payer toujours plus d’impôts, ils préfèrent arrêter de payer : - 4 milliards d’euros pour l’audiovisuel public et les humoristes de France Inter - 7 milliards pou | 64% des Français estiment qu'il y a trop d'immigrés extra-européens sur notre sol. Manifestement, sur France Inter, vous faites partie de la minorité qui pense le contraire.",1355519
2025-05-27,2025-W22,Knafo,S. Knafo (Reconquête),-0.49,"Nos ancêtres ont laissé Versailles, Notre-Dame, le Mont-Saint-Michel. Et nous ? Des zones commerciales et du béton. Dans 300 ans, qu’est-ce que nos descendants visiteront de nous ? Je veux faire de la | La mobilisation des Français a payé ! L’Assemblée nationale vote enfin la suppression des ZFE. Le combat contre ces mesures iniques continue. | Nous sommes aujourd’hui une colonie numérique des États-Unis. 92% de nos données sont stockées aux États-Unis. À cause d’Emmanuel Macron, même les données de santé de tous les Français sont chez Micro",25467
2025-07-14,2025-W29,Knafo,S. Knafo (Reconquête),-0.27,"La bourgeoise, comme vous dites, a grandi en Seine-Saint-Denis, mais a travaillé dur pour réussir les concours que votre copine pistonnée n’a pas eus. C’est ce qui m’a permis d’entrer à la Cour des co | François Bayrou cherche désespérément comment économiser 40 milliards pour l'année qui vient. Je lui trouve 63 milliards à économiser tout de suite. C'est que François Bayrou cherche toujours dans les | 🚨François Bayrou annonce qu’il va augmenter les impôts et supprimer deux jours fériés. Résultat ? C’est vous qui passez à la caisse. Il vous demande de faire l’effort qu’il ne fait pas, ou si pe",100273
2025-05-10,2025-W19,Chikirou,S. Chikirou (LFI),1.66,"Aujourd'hui dans Paris en dépit de l'invisibilisation, des milliers et des milliers contre l'islamophobie. | M. Wauquiez parle comme un lepéniste et agit comme un macroniste. Il est temps d'ouvrir une nouvelle ère. Il faut partager les richesses, il faut lutter contre les discriminations. Il faut que la Fran | 𝑬𝑵 𝑭𝑰𝑵𝑨𝑳𝑬 🔴🔵 🙌",20532
2025-07-21,2025-W30,Chikirou,S. Chikirou (LFI),5.63,"URGENT Toutes les communications internet avec le Handala ont été coupées. Nous avons perdu le contact avec Emma et l’équipage. Partagez et interpellez les autorités pour assurer la sécurité de l'équi | The Israeli military had a message to the Handala freedom flotilla. @huwaidaarraf had a message back to them, explaining international law and their rightful and just mission to deliver humanitarian a | Nous avons fait plus de la moitié du trajet vers Gaza où nous arriverons dimanche 🇵🇸 Gardez les yeux rivés sur le #Handala pour protégez la Flottille de la Liberté !",38560
2025-12-22,2025-W52,Chikirou,S. Chikirou (LFI),1.44,"Un projet pour le champ de mars sans barbelés. Mieux que celui de Dati | La bûche de Noël, le croissant, le pain au chocolat, la baguette, le mille-feuilles, le fraisier... sont fabriqués et vendus dans les boulangeries algériennes aux côtés des makrouts, des baklawas, des | L'IFLOP (IFOP) sort un sondage de popularité : @JLMelenchon est la 1ère personnalité politique chez les sympathisants de gauche et la 3ème personnalité politique préférée de l'ensemble des sondés. Mai",8160
2025-04-14,2025-W16,Mariani,T. Mariani (RN),2.92,"Heureusement… ⁦@jnbarrot⁩, notre Ministre des Affaires Étrangères était il y’a quelques jours à Alger et avait déclaré qu’il était optimiste sur le rétablissement de relations normales avec l’Algérie ",3930
2025-08-14,2025-W33,Mariani,T. Mariani (RN),4.84,"Charlotte Caubel vient d'être nommée par l'Elysée Procureur adjointe à Paris. Elle dirigera une des cinq divisions du Parquet le plus puissant de France. Elle avait été classée 16e sur 17 lorsque prop | Dis par un spécialiste qui n’a tenu aucun des engagements qu’il avait pris devant les Français pour se faire élire, c’est plutôt savoureux, n’est-ce-pas? 😂 | L’Union Européenne de Von Der Leyen est en train de déraper et représente désormais un vrai danger pour nos libertés. À vouloir tout réglementer sous prétexte de lutter contre la désinformation ou ""la",36441
2025-09-29,2025-W40,Mariani,T. Mariani (RN),2.04,"Le choix de ce gouvernement à l’identique, assaisonné de l’homme qui a mis la France en faillite est pathétique. Les bras nous en tombent… | Nous l'avions dit clairement au Premier ministre : c'est la rupture, ou la censure. Le gouvernement annoncé ce soir, composé des derniers macronistes agrippés au radeau de la Méduse, a décidément tout | Après nous avoir raconté n’importe quoi pendant 3 jours (bateau espion,menace pour notre sécurité, etc…) le film à la James Bond s’achève par le départ du bateau avec tout son équipage Vous n’avez pas",32904
2025-11-17,2025-W47,Mariani,T. Mariani (RN),2.18,"€135 billion. That's how much money the head of the Brusselian bureaucracy, President @vonderleyen, wants to scrape together for Ukraine. This is the price of prolonging the war. The President has one | Yours truly on Ukraine’s corruption pit: “The total amount of money pumped into Ukraine since 2022 is ~$360B. I estimate that corruption accounts for 15–30% of the total aid. That means $54B–$108B is  | Noël approche…et on connaît désormais le coût de cette nouvelle folie de l’UE pour l’Ukraine : 140 milliards dont 18% (soit 25 Milliards) seront à la charge des Français ! On n’a plus d’argent p",38806
