source,target,pair,themes,n_themes,text_snippet
sophia_chikirou,emmanuel_gregoire,Chikirou->Gregoire,alliance,1,"dans beaucoup de villes, il y a une tentation des candidats socialistes à chercher une alliance avec"
sophia_chikirou,pierre_yves_bournazel,Chikirou->Bournazel,autre,0,le président du groupe horizons d'où vient @pybournazel révèle la volonté d'un pacte avec @egregoire
sophia_chikirou,emmanuel_gregoire,Chikirou->Gregoire,autre,0,le président du groupe horizons d'où vient @pybournazel révèle la volonté d'un pacte avec @egregoire
sophia_chikirou,rachida_dati,Chikirou->Dati,autre,0,le président du groupe horizons d'où vient @pybournazel révèle la volonté d'un pacte avec @egregoire
sophia_chikirou,emmanuel_gregoire,Chikirou->Gregoire,programme,1,"après 25 ans à diriger la ville, @egregoire et ses amis socialistes ont attendu que le nouveau paris"
sophia_chikirou,emmanuel_gregoire,Chikirou->Gregoire,programme,1,la liste des socialistes menée par @egregoire prépare son alliance avec pierre-yves bournazel pour l
sophia_chikirou,emmanuel_gregoire,Chikirou->Gregoire,economie,1,"le budget austéritaire ps–lecornu pour 2026 produit déjà ses premiers dégâts ! dans le 20ᵉ, la ferme"
sophia_chikirou,rachida_dati,Chikirou->Dati,alliance,1,"avec @s_legrain, nous apportons notre soutien au personnel du @museelouvre en grève : @datirachida, "
sophia_chikirou,emmanuel_gregoire,Chikirou->Gregoire,"alliance,economie",2,il faut en finir avec eux : @rachidadati_mc comme @egregoire soutiennent le même budget à l'assemblé
sophia_chikirou,rachida_dati,Chikirou->Dati,autre,0,"en réaction à la vidéo de @datirachida se mettant en scène avec des agents de propreté, @egregoire s"
sophia_chikirou,emmanuel_gregoire,Chikirou->Gregoire,autre,0,"en réaction à la vidéo de @datirachida se mettant en scène avec des agents de propreté, @egregoire s"
sophia_chikirou,emmanuel_gregoire,Chikirou->Gregoire,autre,0,"les agents de la ville de paris des écoles parisiennes lancent un cri d’alerte sur leurs situations,"
sophia_chikirou,rachida_dati,Chikirou->Dati,autre,0,"les agents de la ville de paris des écoles parisiennes lancent un cri d’alerte sur leurs situations,"
sophia_chikirou,pierre_yves_bournazel,Chikirou->Bournazel,autre,0,"les agents de la ville de paris des écoles parisiennes lancent un cri d’alerte sur leurs situations,"
thierry_mariani,rachida_dati,Mariani->Dati,autre,0,"madame la ministre de la culture @datirachida comment ce livre qui appelle à tuer les homosexuels, l"
thierry_mariani,rachida_dati,Mariani->Dati,autre,0,est ce qu’on peut arrêter cette propagande débile du groupe #bollore ? les sondages secrets …. le vo
thierry_mariani,emmanuel_gregoire,Mariani->Gregoire,autre,0,est ce qu’on peut arrêter cette propagande débile du groupe #bollore ? les sondages secrets …. le vo
thierry_mariani,rachida_dati,Mariani->Dati,alliance,1,toujours le sens de l’humour chez @lesrepublicains 😂😂 ils engagent une procédure d’exclusion…comme i
