candidate_id,topic_id,topic_name,n_tweets,avg_engagement,median_engagement,total_engagement,avg_views,label
sophia_chikirou,4,Securite & delinquance,65,1172.553846153846,494.0,76216,52260.338461538464,Chikirou (LFI)
sophia_chikirou,1,Vie locale & citoyennete,86,999.9651162790698,566.0,85997,26081.79069767442,Chikirou (LFI)
sophia_chikirou,3,Social & solidarite,57,981.6140350877193,553.0,55952,37318.17543859649,Chikirou (LFI)
sophia_chikirou,5,Arrondissement / Liberté / Gauche,61,758.5573770491803,517.0,46272,33236.42622950819,Chikirou (LFI)
thierry_mariani,9,Soutien / Jour / France,56,4241.607142857143,1847.0,237530,118047.75,Mariani (RN)
thierry_mariani,6,Budget & finances,113,3221.097345132743,1256.0,363984,87211.0,Mariani (RN)
thierry_mariani,8,Deux / Emmanuel / Peuple,48,3124.6666666666665,1160.0,149984,66300.14583333333,Mariani (RN)
thierry_mariani,3,Social & solidarite,52,3061.4615384615386,625.0,159196,65151.846153846156,Mariani (RN)
thierry_mariani,2,Geopolitique & international,232,2538.2413793103447,867.5,588872,119660.37068965517,Mariani (RN)
thierry_mariani,4,Securite & delinquance,77,2015.8181818181818,531.0,155218,40200.28571428572,Mariani (RN)
thierry_mariani,0,Logement & urbanisme,61,1929.7377049180327,190.0,117714,54797.32786885246,Mariani (RN)
thierry_mariani,7,Education & culture,173,1662.1098265895953,432.0,287545,40551.04046242774,Mariani (RN)
thierry_mariani,1,Vie locale & citoyennete,44,880.1136363636364,163.5,38725,18143.0,Mariani (RN)
thierry_mariani,5,Arrondissement / Liberté / Gauche,65,445.95384615384614,144.0,28987,20526.03076923077,Mariani (RN)
