week,topic_name,n_tweets,avg_eng
2025-03-17,Logement & urbanisme,7,98.71428571428572
2025-03-17,Education & culture,7,419.57142857142856
2025-03-17,Arrondissement / Liberté / Gauche,8,149.25
2025-03-17,Geopolitique & international,5,808.6
2025-03-17,Deux / Emmanuel / Peuple,4,400.0
2025-03-17,Budget & finances,6,354.8333333333333
2025-03-24,Vie locale & citoyennete,10,197.3
2025-03-24,Soutien / Jour / France,8,22905.0
2025-03-24,Social & solidarite,10,101.6
2025-03-24,Logement & urbanisme,27,119.37037037037037
2025-03-24,Securite & delinquance,4,63.75
2025-03-24,Education & culture,9,320.22222222222223
2025-03-24,Deux / Emmanuel / Peuple,5,1374.2
2025-03-24,Budget & finances,11,263.3636363636364
2025-03-24,Arrondissement / Liberté / Gauche,8,165.25
2025-03-24,Geopolitique & international,2,1929.0
2025-03-31,Vie locale & citoyennete,6,101.33333333333331
2025-03-31,Soutien / Jour / France,9,15108.666666666666
2025-03-31,Social & solidarite,5,187.4
2025-03-31,Securite & delinquance,11,324.1818181818182
2025-03-31,Logement & urbanisme,9,455.44444444444446
2025-03-31,Geopolitique & international,16,6260.3125
2025-03-31,Deux / Emmanuel / Peuple,3,651.6666666666666
2025-03-31,Budget & finances,6,200390.8333333333
2025-03-31,Arrondissement / Liberté / Gauche,5,8954.2
2025-03-31,Education & culture,10,2810.7
2025-04-07,Vie locale & citoyennete,6,646.1666666666666
2025-04-07,Soutien / Jour / France,7,156.14285714285714
2025-04-07,Social & solidarite,7,468.1428571428572
2025-04-07,Securite & delinquance,5,194.0
2025-04-07,Logement & urbanisme,10,89.0
2025-04-07,Geopolitique & international,11,915.4545454545456
2025-04-07,Deux / Emmanuel / Peuple,1,61.0
2025-04-07,Budget & finances,13,340.2307692307692
2025-04-07,Arrondissement / Liberté / Gauche,6,164.0
2025-04-07,Education & culture,11,25605.727272727272
2025-04-14,Securite & delinquance,3,1691.6666666666667
2025-04-14,Soutien / Jour / France,3,2103.6666666666665
2025-04-14,Social & solidarite,8,16409.75
2025-04-14,Logement & urbanisme,8,293.75
2025-04-14,Geopolitique & international,4,137683.5
2025-04-14,Education & culture,6,23455.666666666668
2025-04-14,Deux / Emmanuel / Peuple,1,693.0
2025-04-14,Budget & finances,2,575.0
2025-04-14,Arrondissement / Liberté / Gauche,4,25805.5
2025-04-21,Vie locale & citoyennete,2,46.0
2025-04-21,Soutien / Jour / France,17,1029.2941176470588
2025-04-21,Social & solidarite,6,118.83333333333331
2025-04-21,Securite & delinquance,6,135858.16666666666
2025-04-21,Logement & urbanisme,13,4212.384615384615
2025-04-21,Education & culture,8,142.625
2025-04-21,Deux / Emmanuel / Peuple,2,111.5
2025-04-21,Budget & finances,6,105.83333333333331
2025-04-21,Arrondissement / Liberté / Gauche,7,302.1428571428572
2025-04-21,Geopolitique & international,7,27488.285714285717
2025-04-28,Securite & delinquance,7,7104.428571428572
2025-04-28,Vie locale & citoyennete,4,13309.0
2025-04-28,Soutien / Jour / France,10,33007.8
2025-04-28,Social & solidarite,9,30515.222222222223
2025-04-28,Logement & urbanisme,10,13442.9
2025-04-28,Geopolitique & international,11,30586.0
2025-04-28,Education & culture,11,88561.45454545454
2025-04-28,Deux / Emmanuel / Peuple,6,667.8333333333334
2025-04-28,Budget & finances,9,31707.88888888889
2025-04-28,Arrondissement / Liberté / Gauche,6,59.0
2025-05-05,Vie locale & citoyennete,2,73.0
2025-05-05,Soutien / Jour / France,7,3343.285714285714
2025-05-05,Social & solidarite,10,14313.7
2025-05-05,Securite & delinquance,5,62419.8
2025-05-05,Logement & urbanisme,9,79619.88888888889
2025-05-05,Geopolitique & international,22,23205.045454545456
2025-05-05,Education & culture,3,97846.66666666669
2025-05-05,Deux / Emmanuel / Peuple,3,76853.33333333333
2025-05-05,Budget & finances,7,103367.71428571428
2025-05-05,Arrondissement / Liberté / Gauche,4,524.25
2025-05-12,Vie locale & citoyennete,14,509.4285714285714
2025-05-12,Soutien / Jour / France,7,876.7142857142857
2025-05-12,Social & solidarite,11,14671.545454545454
2025-05-12,Securite & delinquance,6,3875.8333333333335
2025-05-12,Logement & urbanisme,9,16453.444444444445
2025-05-12,Geopolitique & international,28,15176.357142857143
2025-05-12,Education & culture,13,26961.07692307692
2025-05-12,Deux / Emmanuel / Peuple,5,638.2
2025-05-12,Budget & finances,5,39073.2
2025-05-12,Arrondissement / Liberté / Gauche,15,2301.333333333333
2025-05-19,Vie locale & citoyennete,7,599.2857142857143
2025-05-19,Soutien / Jour / France,12,33274.25
2025-05-19,Social & solidarite,12,49649.333333333336
2025-05-19,Securite & delinquance,6,112360.5
2025-05-19,Logement & urbanisme,18,5957.833333333333
2025-05-19,Geopolitique & international,21,7307.428571428572
2025-05-19,Education & culture,14,19683.92857142857
2025-05-19,Deux / Emmanuel / Peuple,7,7305.714285714285
2025-05-19,Budget & finances,5,134339.2
2025-05-19,Arrondissement / Liberté / Gauche,9,6390.111111111111
2025-05-26,Vie locale & citoyennete,7,796.5714285714286
2025-05-26,Soutien / Jour / France,11,493.7272727272728
2025-05-26,Social & solidarite,9,2721.777777777778
2025-05-26,Securite & delinquance,10,601.2
2025-05-26,Geopolitique & international,18,1916.2777777777776
2025-05-26,Deux / Emmanuel / Peuple,6,980.8333333333334
2025-05-26,Education & culture,8,402.625
2025-05-26,Budget & finances,7,1361.7142857142858
2025-05-26,Arrondissement / Liberté / Gauche,8,467.5
2025-05-26,Logement & urbanisme,7,554.8571428571429
2025-06-02,Vie locale & citoyennete,11,1700.7272727272727
2025-06-02,Arrondissement / Liberté / Gauche,13,415.84615384615387
2025-06-02,Budget & finances,8,1995.125
2025-06-02,Deux / Emmanuel / Peuple,3,121.66666666666669
2025-06-02,Education & culture,10,5180.7
2025-06-02,Geopolitique & international,10,1336.0
2025-06-02,Logement & urbanisme,8,2562.0
2025-06-02,Securite & delinquance,8,1425.25
2025-06-02,Social & solidarite,21,351.6666666666667
2025-06-02,Soutien / Jour / France,6,3502.1666666666665
2025-06-09,Social & solidarite,3,593.0
2025-06-09,Securite & delinquance,6,5094.5
2025-06-09,Vie locale & citoyennete,6,2529.333333333333
2025-06-09,Soutien / Jour / France,12,1269.0833333333333
2025-06-09,Logement & urbanisme,9,1018.3333333333334
2025-06-09,Arrondissement / Liberté / Gauche,6,694.3333333333334
2025-06-09,Education & culture,13,1908.3076923076924
2025-06-09,Deux / Emmanuel / Peuple,2,192.0
2025-06-09,Budget & finances,7,6964.428571428572
2025-06-09,Geopolitique & international,14,1797.7857142857142
2025-06-16,Vie locale & citoyennete,10,546.4
2025-06-16,Soutien / Jour / France,9,206.88888888888889
2025-06-16,Social & solidarite,7,1966.4285714285716
2025-06-16,Securite & delinquance,7,1198.0
2025-06-16,Logement & urbanisme,19,876.3157894736842
2025-06-16,Geopolitique & international,22,2995.590909090909
2025-06-16,Education & culture,22,644.4090909090909
2025-06-16,Deux / Emmanuel / Peuple,8,3425.75
2025-06-16,Budget & finances,3,5480.333333333333
2025-06-16,Arrondissement / Liberté / Gauche,15,336.6
2025-06-23,Vie locale & citoyennete,14,1223.142857142857
2025-06-23,Soutien / Jour / France,7,1744.2857142857142
