author1,author2,n_co_timings,candidates
jeanlouisneboux,v.hunyor,2,Belliard
jeanlouisneboux,lege_gele,2,Belliard
bernard.roy.9619,jeanlouisneboux,2,Belliard
chaubardjen,jeanlouisneboux,2,Belliard
bersaut24,jeanlouisneboux,2,Belliard
1parisienaparis,ruraletfier,2,Dati
coliving_paris_,v.hunyor,2,Belliard
coliving_paris_,lege_gele,2,Belliard
bernard.roy.9619,coliving_paris_,2,Belliard
1parisienaparis,marrejean4142,2,Dati
bersaut24,coliving_paris_,2,Belliard
ludovicdesmurger,v.hunyor,2,Belliard
ludovicdesmurger,mh2p_,2,Belliard
lege_gele,ludovicdesmurger,2,Belliard
bernard.roy.9619,ludovicdesmurger,2,Belliard
AmourLiber48632,BidalGontr33527,2,Knafo
1parisienaparis,MacronardsFM,2,Dati
AlekssandreCP,artichaut63,2,Dati
paris_reviens,v.hunyor,2,"Belliard,Gregoire"
bernard.roy.9619,v.hunyor,2,"Belliard,Gregoire"
chaubardjen,v.hunyor,2,"Belliard,Gregoire"
CroqueuseVie,Julie91700659,2,Knafo
lege_gele,mh2p_,2,"Belliard,Brossat"
OlivierMILAN1,Politpassion39,2,Dati
LusoHerisson,romuald_correia,2,Knafo
elisabethsudre,paris_reviens,2,Brossat
bersaut24,mh2p_,2,"Belliard,Brossat"
1parisienaparis,EricGauriat2,2,Dati
1parisienaparis,briallon57908,2,Dati
Bahsief93,Matteo707947014,2,Knafo
bersaut24,lege_gele,2,"Belliard,Brossat"
bernard.roy.9619,paris_reviens,2,"Belliard,Gregoire"
chaubardjen,eelv.paris16,2,Gregoire
elisabethsudre,nr22.69,2,Brossat
chaubardjen,marjeta605,2,Gregoire
bernard.roy.9619,la_chikirou_tourne,2,Chikirou
la_chikirou_tourne,ravajalamouke,2,Chikirou
JohnPSharpe,leChat65163641,2,Dati
bernard.roy.9619,fabienyeiayel,2,Chikirou
fabienyeiayel,ravajalamouke,2,Chikirou
bernard.roy.9619,world_chill,2,Chikirou
ravajalamouke,world_chill,2,Chikirou
cedrictri,stannislask51,2,Belliard
Bahsief93,hudsuck3r,2,Knafo
Bahsief93,echoworld22,2,Knafo
mh2p_,stannislask51,2,Belliard
MickaelLG2023,R6913Bc,2,Knafo
albator8475,marjeta605,2,Gregoire
Bahsief93,R6913Bc,2,Knafo
