author1,author2,n_co_timings,candidates
1parisienaparis,parti_lef,1,Dati
manonbymanon_,parti_lef,1,Dati
AlekssandreCP,parti_lef,1,Dati
AlekssandreCP,manonbymanon_,1,Dati
HugoMe,manonbymanon_,1,Dati
AlekssandreCP,HugoMe,1,Dati
AbbonaChris,easyten75,1,Dati
LiliPerles,jakguion,1,Dati
Brigande03,jakguion,1,Dati
phthivolle,sev_igne,1,Dati
DurilleE90866,ZytoCher,1,Dati
1parisienaparis,ZytoCher,1,Dati
CarolineDervil,dmz1781,1,Dati
PinguoinSecours,dmz1781,1,Dati
JohnPSharpe,PinguoinSecours,1,Dati
PolitiquesFilms,patrice_koch,1,Dati
Citoyen83674311,DukeMargarine,1,Dati
Los717238148281,zeyda123,1,Dati
1parisienaparis,humaindesouche,1,Dati
1parisienaparis,bascopensardine,1,Dati
bascopensardine,humaindesouche,1,Dati
DukeMargarine,Lalonde82917097,1,Dati
ZytoCher,domdumoulin,1,Dati
BigMuffin10,domdumoulin,1,Dati
Lalonde82917097,fabricenoel13,1,Dati
sebanxo,zeyda123,1,Dati
Lalonde82917097,Montjoie_St_D,1,Dati
letulpadedavid,zeyda123,1,Dati
1parisienaparis,Bruno86650943,1,Dati
BlacheCric94876,RobertBer2,1,Dati
OscoffDavid,pierre_bra59000,1,Dati
1parisienaparis,noelieboulch,1,Dati
1parisienaparis,Bigsquatlegs,1,Dati
Bigsquatlegs,noelieboulch,1,Dati
Netox_144,noelieboulch,1,Dati
Bigsquatlegs,Netox_144,1,Dati
JacquesJb78,canlou62,1,Dati
DukeMargarine,bascopensardine,1,Dati
DukeMargarine,adler_p,1,Dati
adler_p,bascopensardine,1,Dati
Rev_de_Presse,lavy_davan2,1,Dati
AMBUT18,maria_andy2,1,Dati
1parisienaparis,canlou62,1,Dati
1parisienaparis,AdressePip61241,1,Dati
AdressePip61241,canlou62,1,Dati
BigMuffin10,canlou62,1,Dati
canlou62,jfouchard29,1,Dati
AdressePip61241,BigMuffin10,1,Dati
AdressePip61241,jfouchard29,1,Dati
BigMuffin10,jfouchard29,1,Dati
Netox_144,OscoffDavid,1,Dati
LauvinPoirier,OscoffDavid,1,Dati
MOULINIERPatri1,__maFrance__12,1,Dati
AlekssandreCP,ToxicJ0k,1,Dati
AlekssandreCP,Fred_Rel,1,Dati
Fred_Rel,ToxicJ0k,1,Dati
Eggius_Galia,lavy_davan2,1,Dati
fabricenoel13,lavy_davan2,1,Dati
Eggius_Galia,fabricenoel13,1,Dati
MathonChri49279,XXxx00079166,1,Dati
MarinaDe67805,SophieBrun15,1,Dati
corsucorse,cpzvigor,1,Dati
jjmeune,pguglielmoni64,1,Dati
Netox_144,__maFrance__12,1,Dati
VincentdeVince2,canlou62,1,Dati
marrejean4142,ruraletfier,1,Dati
MacronardsFM,marrejean4142,1,Dati
AlekssandreCP,General53725459,1,Dati
General53725459,marc_paris_x,1,Dati
AlekssandreCP,marc_paris_x,1,Dati
1parisienaparis,par_annie2,1,Dati
SCastevet,par_annie2,1,Dati
SCastevet,tybert2018,1,Dati
par_annie2,tybert2018,1,Dati
Emmerdeur1er,tybert2018,1,Dati
AlainLhote1,AlekssandreCP,1,Dati
AlainLhote1,loindevant,1,Dati
Parisensei66966,de_chardin,1,Dati
jaidelachance,ortem95,1,Dati
johndo55480154,ortem95,1,Dati
1parisienaparis,Libre_Droite,1,Dati
neveu_matthieu,parisperdu75,1,Dati
BarnyAlfred,Liryc_CZ,1,Dati
Bahsief93,Liryc_CZ,1,Dati
BarnyAlfred,__maFrance__12,1,Dati
AlekssandreCP,jfouchard29,1,Dati
AlekssandreCP,OdieuxBoby,1,Dati
OdieuxBoby,abissane,1,Dati
AlekssandreCP,abissane,1,Dati
1parisienaparis,AlexieDelalande,1,Dati
AlexieDelalande,maria_andy2,1,Dati
1parisienaparis,maria_andy2,1,Dati
Marar61141017,easyten75,1,Dati
Alexo474,sale_gose,1,Dati
easyten75,sale_gose,1,Dati
Lasudoise3,sale_gose,1,Dati
Alexo474,easyten75,1,Dati
Alexo474,Lasudoise3,1,Dati
Lasudoise3,easyten75,1,Dati
easyten75,maria_andy2,1,Dati
easyten75,marie_angele,1,Dati
easyten75,jfchauffete,1,Dati
Lasudoise3,maria_andy2,1,Dati
Lasudoise3,marie_angele,1,Dati
Lasudoise3,jfchauffete,1,Dati
maria_andy2,marie_angele,1,Dati
jfchauffete,maria_andy2,1,Dati
jfchauffete,marie_angele,1,Dati
Antheme2,sev_igne,1,Dati
AlekssandreCP,Alexand92496917,1,Dati
Netox_144,zeyda123,1,Dati
Netox_144,astrobole,1,Dati
astrobole,zeyda123,1,Dati
Bordeauben95316,Rev_de_Presse,1,Dati
AlainLhote1,Rev_de_Presse,1,Dati
AlainLhote1,Bordeauben95316,1,Dati
1parisienaparis,Bordeauben95316,1,Dati
Bordeauben95316,EricGauriat2,1,Dati
1parisienaparis,AlainLhote1,1,Dati
AlainLhote1,EricGauriat2,1,Dati
1parisienaparis,Ju_111_S,1,Dati
EricGauriat2,Ju_111_S,1,Dati
Bordeauben95316,DerostPhilippe,1,Dati
Latine03,MathonChri49279,1,Dati
BarnyAlfred,sebanxo,1,Dati
BarnyAlfred,MathonChri49279,1,Dati
MathonChri49279,marc_paris_x,1,Dati
marc_paris_x,sebanxo,1,Dati
JulienStephan8,marc_paris_x,1,Dati
1parisienaparis,jfchauffete,1,Dati
marc_paris_x,vsbe75,1,Dati
Marcelline74883,sebanxo,1,Dati
Mrozzz100169,sebanxo,1,Dati
Marcelline74883,Mrozzz100169,1,Dati
Netox_144,sebanxo,1,Dati
ElbirronF,bensetta,1,Dati
BlacheCric94876,corsucorse,1,Dati
BlacheCric94876,__maFrance__12,1,Dati
__maFrance__12,corsucorse,1,Dati
MathonChri49279,Rev_de_Presse,1,Dati
Rev_de_Presse,cpzvigor,1,Dati
Jules2bC,cpzvigor,1,Dati
Jules2bC,Rev_de_Presse,1,Dati
Rev_de_Presse,bingopanam,1,Dati
__maFrance__12,bingopanam,1,Dati
PhilB3157,__maFrance__12,1,Dati
Kasiuta,PhilB3157,1,Dati
BoulierCharles,vsbe75,1,Dati
DraduagF,alexa750150,1,Dati
samsung409,zoro_zoro_7_,1,Dati
DukeMargarine,Patriote4671,1,Dati
MedecinZemmour,PierreFrance59,1,Dati
ElbirronF,PierreFrance59,1,Dati
ElbirronF,MedecinZemmour,1,Dati
Andregilles10,Bahsief93,1,Dati
FredFredoFredo,LAuvergnat12,1,Dati
FredFredoFredo,patrice_koch,1,Dati
LAuvergnat12,patrice_koch,1,Dati
Parisensei66966,jetsept3,1,Dati
MTambutte66337,facqoddebes,1,Dati
Chrobert2,dfbert,1,Dati
JongyJpj,MirnaDzamonja,1,Dati
BabouLampe,jcblebon,1,Dati
BlacheCric94876,Netox_144,1,Dati
johndo55480154,matoques,1,Dati
A2cha1,youdontknowalie,1,Dati
LB07500,youdontknowalie,1,Dati
A2cha1,LB07500,1,Dati
1parisienaparis,pierre_bra59000,1,Dati
BigMuffin10,delier74781,1,Dati
Antheme2,delier74781,1,Dati
RobertBer2,ToxicJ0k,1,Dati
2Halumi,leraisonneur,1,Dati
BiKaBorNat,Vyve17,1,Dati
Brigande03,jfouchard29,1,Dati
Nono72Jjpr,johndo55480154,1,Dati
chachadu1347893,delier74781,1,Dati
AntLenc,MaitreHaposai,1,Dati
harryxavier17,urbicande75,1,Dati
Bigsquatlegs,DaylightZe,1,Dati
MonsieurDworkin,mehdibellebna,1,Dati
MonsieurDworkin,OdileBouhallier,1,Dati
face_dark720,samueldokam,1,Dati
AlekssandreCP,SitoulmE,1,Dati
AlekssandreCP,Celavie1000,1,Dati
Celavie1000,SitoulmE,1,Dati
AlekssandreCP,sebanxo,1,Dati
Chrobert2,MTambutte66337,1,Dati
PastisAntifake,marc_paris_x,1,Dati
Marcelline74883,marc_paris_x,1,Dati
Marcelline74883,glpa_pa,1,Dati
jjmeune,marc_paris_x,1,Dati
chachadu1347893,kkewine,1,Dati
Floralutece15,chachadu1347893,1,Dati
Beauserge76,maria_andy2,1,Dati
BafFranck309,Beauserge76,1,Dati
CappiaPascale,lofficielverite,1,Dati
CappiaPascale,MirnaDzamonja,1,Dati
MirnaDzamonja,PastilleJ,1,Dati
Fred_Rel,gordonisback,1,Dati
ToxicJ0k,mazurier_jeanne,1,Dati
ChiapelloR,astrobole,1,Dati
AliceBah6,polosonrouge,1,Dati
DukeMargarine,jcblebon,1,Dati
DraduagF,Lisabethdanj,1,Dati
bascopensardine,jjmeune,1,Dati
jjmeune,leraisonneur,1,Dati
DaylightZe,MathonChri49279,1,Dati
Paris19Lambert,leraisonneur,1,Dati
Marie85945855,roger_vicario,1,Dati
taupemusique,vivi75515,1,Dati
MatouEcureuil,Rev_de_Presse,1,Dati
Politpassion39,YanAmarre3,1,Dati
MartinL42544349,easyten75,1,Dati
MartinL42544349,gustave213,1,Dati
easyten75,gustave213,1,Dati
Pupuce5637,Schwal7,1,Dati
Christo3191,Fred_Rel,1,Dati
Parisensei66966,RoussetDauge,1,Dati
bensetta,jcdumanoir0,1,Dati
bensetta,tybert2018,1,Dati
BelzacqMax,kkewine,1,Dati
Arnaudin49,ElijahBal42,1,Dati
Fred_Rel,Politpassion39,1,Dati
CHRIS473112,auxprunes,1,Dati
34occi34,maxlegrosmatou,1,Dati
SuavetSylvia,babonnay,1,Dati
Arnaudin49,soleil_trompeur,1,Dati
FamilyMan0305,PastisAntifake,1,Dati
hueteve49,kitkatwjfd,1,Dati
La_Luciole__,zonettegaulier,1,Dati
La_Luciole__,dfbert,1,Dati
CoyotteWill,lubayle,1,Dati
AliceBah6,MOMheli,1,Dati
CoyotteWill,zoro_zoro_7_,1,Dati
Christo3191,dfbert,1,Dati
Bigsquatlegs,matoques,1,Dati
Unpeudecalme1,urbicande75,1,Dati
Politpassion39,gordonisback,1,Dati
2Halumi,Politpassion39,1,Dati
EricGauriat2,parti_lef,1,Dati
Bordeauben95316,face_dark720,1,Dati
AMBUT18,kkewine,1,Dati
AMBUT18,parti_lef,1,Dati
kkewine,parti_lef,1,Dati
Parisensei66966,zeyda123,1,Dati
mazurier_jeanne,parti_lef,1,Dati
Foglio206,ogredescarpates,1,Dati
BasLesYouks,DraduagF,1,Dati
Fathi1288118,thierrymeneau,1,Dati
PinguoinSecours,maria_andy2,1,Dati
Pupuce5637,maria_andy2,1,Dati
Pupuce5637,leraisonneur,1,Dati
leraisonneur,maria_andy2,1,Dati
Beauserge76,EricGauriat2,1,Dati
Swannpok,jfouchard29,1,Dati
d_lebas,jfouchard29,1,Dati
alexa750150,maria_andy2,1,Dati
Baptiste_Gvn75,alexa750150,1,Dati
1parisienaparis,Baptiste_Gvn75,1,Dati
1parisienaparis,alexa750150,1,Dati
Cerbere1,Fred_duperray,1,Dati
AMBUT18,eschahl,1,Dati
GAbarnoug,JacquesJb78,1,Dati
YanAmarre3,eManu___,1,Dati
6Mk1307,MonsieurTrains,1,Dati
Malamatia,MotschBeno12447,1,Dati
thierrymeneau,toad_leap,1,Dati
BarbaraBrendt,toad_leap,1,Dati
g_olivierg9377,toad_leap,1,Dati
BarbaraBrendt,thierrymeneau,1,Dati
g_olivierg9377,thierrymeneau,1,Dati
BarbaraBrendt,g_olivierg9377,1,Dati
PierreFrance59,taupemusique,1,Dati
All_FredRic,Fred_Rel,1,Dati
MTambutte66337,nobru072,1,Dati
Bruno86650943,jjmeune,1,Dati
Bruno_Attal_,DeMarana75,1,Dati
MarchalOmbre_,calphilippe,1,Dati
Max60856876,easyten75,1,Dati
BismuthCome,easyten75,1,Dati
BrunoWadmag,CarlottaMelzi,1,Dati
SitoulmE,Sophie_Pons,1,Dati
DeparisJulien,UnevoixP,1,Dati
56Didou,LaFrancfort,1,Dati
CDPACI,espmaine,1,Dati
cafenoisette75,maria_andy2,1,Dati
RoussetDauge,youdontknowalie,1,Dati
CTrudaine,godoy9953,1,Dati
CTrudaine,Madic1957,1,Dati
Madic1957,godoy9953,1,Dati
RaoulNaudin2,mehdimillesbal,1,Dati
RaoulNaudin2,artichaut63,1,Dati
artichaut63,mehdimillesbal,1,Dati
QuentinU0,respectonsnou,1,Dati
Raygees9,g_olivierg9377,1,Dati
AlekssandreCP,briallon57908,1,Dati
AlekssandreCP,frckd,1,Dati
briallon57908,hdfnol,1,Dati
Kevin_cindy12,Sceptical11000,1,Dati
EricZorglub,kkewine,1,Dati
GAbarnoug,kkewine,1,Dati
EricZorglub,GAbarnoug,1,Dati
FranckMont94683,alexa750150,1,Dati
LaFrancfort,Romarin_2084,1,Dati
David_75000,URoyalev94811,1,Dati
David_75000,g_olivierg9377,1,Dati
LaFrancfort,samueldokam,1,Dati
LaFrancfort,Unpeudecalme1,1,Dati
Unpeudecalme1,samueldokam,1,Dati
Sceptical11000,letulpadedavid,1,Dati
Sceptical11000,mthistoria,1,Dati
letulpadedavid,mthistoria,1,Dati
ElzevirZe,maria_andy2,1,Dati
ElzevirZe,ThomassinMarti4,1,Dati
glpa_pa,maria_andy2,1,Dati
FredericMignard,maria_andy2,1,Dati
ChristianHAAG14,mdfranza,1,Dati
Elie1503,JongyJpj,1,Dati
Sceptical11000,maria_andy2,1,Dati
gerardfiloche,mthistoria,1,Dati
ChristianHAAG14,Floralutece15,1,Dati
AlekssandreCP,Elie1503,1,Dati
AlekssandreCP,gerardfiloche,1,Dati
BasLesYouks,maria_andy2,1,Dati
Fred_Rel,mthistoria,1,Dati
delier74781,parisperdu75,1,Dati
elisabethsudre,hogerpierre,1,Gregoire
cbiget,paris_reviens,1,Gregoire
hogerpierre,paris_reviens,1,Gregoire
cbiget,hogerpierre,1,Gregoire
hogerpierre,world_chill,1,Gregoire
haddock_bzh,paris_reviens,1,Gregoire
bernard.roy.9619,stannislask51,1,Gregoire
bernard.roy.9619,haddock_bzh,1,Gregoire
stannislask51,v.hunyor,1,Gregoire
haddock_bzh,v.hunyor,1,Gregoire
eelv.paris16,marjeta605,1,Gregoire
albator8475,v.hunyor,1,Gregoire
nr22.69,v.hunyor,1,Gregoire
cherry_art_art_art,nr22.69,1,Gregoire
albator8475,lege_gele,1,Gregoire
albator8475,nr22.69,1,Gregoire
lege_gele,nr22.69,1,Gregoire
bersaut24,patrick.fosse,1,Gregoire
DTovev,r4yben,1,Gregoire
NabelaNab,soudaniesp,1,Gregoire
Macroniste58,harryxavier17,1,Gregoire
Macroniste58,PolitiquesFilms,1,Gregoire
PolitiquesFilms,harryxavier17,1,Gregoire
karsentypeintures,lege_gele,1,Gregoire
DomiPiussan,manonbymanon_,1,Knafo
Babylone771,EricZorglub,1,Knafo
CroqueuseVie,GisouGarcia,1,Knafo
MickaelLG2023,PatRiot1953277,1,Knafo
FrenchCarcan,Samuel_Lafont,1,Knafo
PreumontCarolyn,Samuel_Lafont,1,Knafo
FrenchCarcan,PreumontCarolyn,1,Knafo
MiniLicorne69,PrincedeCannes,1,Knafo
BLhoumeau,PrincedeCannes,1,Knafo
BLhoumeau,MiniLicorne69,1,Knafo
Kasiuta,tythanblog,1,Knafo
guerrede3,marclanguedoc,1,Knafo
Julie91700659,KIliesco77809,1,Knafo
AnaxagoreA,MeuhdiK,1,Knafo
Delvalle4Gisele,FlorianFrVendee,1,Knafo
Girolata20,antoinedu78520,1,Knafo
Girolata20,deltadusud,1,Knafo
antoinedu78520,deltadusud,1,Knafo
Foxie802,JosianePratx,1,Knafo
LBleuBlancRouge,PatrioteZfr,1,Knafo
91Kill,guerrede3,1,Knafo
GuillaumeB38968,LegalOfficer001,1,Knafo
GuillaumeB38968,NadineM97594020,1,Knafo
LegalOfficer001,NadineM97594020,1,Knafo
NadineM97594020,PatRiot1953277,1,Knafo
ElisaMaFrance,NadineM97594020,1,Knafo
ElisaMaFrance,PatRiot1953277,1,Knafo
MiniLicorne69,PatrioteZfr,1,Knafo
CiantarGuylene,MiniLicorne69,1,Knafo
CiantarGuylene,PatrioteZfr,1,Knafo
IsabelleIdec,PatrioteZfr,1,Knafo
Danhalakha,i_decrion,1,Knafo
JTJANIEC,caroline14710,1,Knafo
Lourau20e,PatrioteZfr,1,Knafo
krebs_claire,merlin_thanael,1,Knafo
AnneMarieLabar1,SylvieNellinge1,1,Knafo
Christo14282040,LeandriSimon,1,Knafo
AurhianO,Christo14282040,1,Knafo
AurhianO,LeandriSimon,1,Knafo
JBOnana1,PatRiot1953277,1,Knafo
JBOnana1,MARCLANDES40,1,Knafo
MARCLANDES40,PatRiot1953277,1,Knafo
QueenFirmAction,u2ist,1,Knafo
Christo14282040,u2ist,1,Knafo
Christo14282040,QueenFirmAction,1,Knafo
Jlb04Vaincre,QueenFirmAction,1,Knafo
Christo14282040,Jlb04Vaincre,1,Knafo
Jlb04Vaincre,Pygz1,1,Knafo
ZadkineA,manonbymanon_,1,Knafo
Cha22Laurent,hostrogo,1,Knafo
ElisaMaFrance,mhzaldivar,1,Knafo
NicolasQuiPaie,manonbymanon_,1,Knafo
Depoque1er,manonbymanon_,1,Knafo
MouloudiaDZ3,PhotosNicolas89,1,Knafo
JTJANIEC,Marie85945855,1,Knafo
ElisaMaFrance,lucidite_92,1,Knafo
LusoHerisson,MaryC7773,1,Knafo
PatrioteZfr,michou_sar8301,1,Knafo
PatrioteZfr,reconquete77_11,1,Knafo
Blodwyn_KH69_,PRussiet,1,Knafo
AurelienMarq,Blodwyn_KH69_,1,Knafo
AurelienMarq,PRussiet,1,Knafo
AurelienMarq,Michel_Zed_,1,Knafo
KcalbNeerg,jusko_bout,1,Knafo
AzurClair1,romuald_correia,1,Knafo
AzurClair1,jaidelachance,1,Knafo
AzurClair1,Furio8630028226,1,Knafo
Furio8630028226,jaidelachance,1,Knafo
Pls60604018Pls,SbastienBe33954,1,Knafo
GuillaumeB38968,TZRachelles,1,Knafo
GuillaumeB38968,fvignals,1,Knafo
TZRachelles,fvignals,1,Knafo
caro_soph,manonbymanon_,1,Knafo
SylvieNellinge1,gretaperdido,1,Knafo
hudsuck3r,p83_jean,1,Knafo
QueenFirmAction,manonbymanon_,1,Knafo
InfinityWizion,luckasdelille59,1,Knafo
SGHI06,parisienIX,1,Knafo
Destexhe,Michel_Zed_,1,Knafo
PatrioteZfr,PhenixPhnix,1,Knafo
EBilou,PatrioteZfr,1,Knafo
ellenetlaine,stampa25,1,Knafo
AnaxagoreA,charliezemmour,1,Knafo
Blodwyn_KH69_,Jayronimo77,1,Knafo
FayotOlivier,XXxx00079166,1,Knafo
KcalbNeerg,LartasChrist,1,Knafo
Destexhe,JulienStephan8,1,Knafo
FxJg9806,GonthierMave,1,Knafo
Nandilaure,wande7872,1,Knafo
CharboneColette,CiantarGuylene,1,Knafo
FbkzS12,MARCLANDES40,1,Knafo
Alain8381949241,DiciCyr51,1,Knafo
AMontezuma,parisienIX,1,Knafo
guerrede3,xekloom0,1,Knafo
GuillaumeB38968,KcalbNeerg,1,Knafo
Ekinorev63,KatellHenry,1,Knafo
Saumonnette69,jfaix13,1,Knafo
JoLeca6,xekloom0,1,Knafo
Kidder1978,clairdeLun12797,1,Knafo
Kidder1978,Richemo17401155,1,Knafo
Richemo17401155,clairdeLun12797,1,Knafo
CharboneColette,PhotosNicolas89,1,Knafo
PRussiet,marvel_gama,1,Knafo
NicoleDelepine,lucidite_92,1,Knafo
Michel_Zed_,NicoleDelepine,1,Knafo
CroqueuseVie,NicoleDelepine,1,Knafo
CroqueuseVie,Michel_Zed_,1,Knafo
CarOfXav,PRussiet,1,Knafo
CarOfXav,Mtz661Mtz,1,Knafo
Mtz661Mtz,PRussiet,1,Knafo
CroqueuseVie,terroiravie,1,Knafo
Co17Guillaumele,Soljenitsyniste,1,Knafo
COV_COPPERFIELD,Soljenitsyniste,1,Knafo
CarlaPi83500,Soljenitsyniste,1,Knafo
COV_COPPERFIELD,Co17Guillaumele,1,Knafo
CarlaPi83500,Co17Guillaumele,1,Knafo
COV_COPPERFIELD,CarlaPi83500,1,Knafo
GuillaumeB38968,SylvieNellinge1,1,Knafo
CoqDeFeu,KelWaza,1,Knafo
KelWaza,MartinL42544349,1,Knafo
CoqDeFeu,MartinL42544349,1,Knafo
CoqDeFeu,Dilou56740,1,Knafo
Dilou56740,MartinL42544349,1,Knafo
Dilou56740,PRussiet,1,Knafo
Karm5624,PRussiet,1,Knafo
Karm5624,Shuyaftw,1,Knafo
Ekinorev63,Patricktaudiere,1,Knafo
Ekinorev63,Helyxire,1,Knafo
Helyxire,Patricktaudiere,1,Knafo
PRussiet,Patricktaudiere,1,Knafo
Helyxire,PRussiet,1,Knafo
DBouffee,LaPourGueuler,1,Knafo
BatricePLAISAN1,MARCLANDES40,1,Knafo
BehalPierre,fandetv,1,Knafo
AnaxagoreA,terroiravie,1,Knafo
Dilou56740,Elloco1897,1,Knafo
Patbla2103,diefredou,1,Knafo
tania_rapp30422,yaicheketty,1,Knafo
BonNationaliste,RoidIthaque21,1,Knafo
Magnifaik26,MisterChris2024,1,Knafo
Pierre_Corsu,kris_honneur,1,Knafo
49Reconquete,romuald_correia,1,Knafo
GypaetreH,MarcelE35864931,1,Knafo
Steph_owb,Veralucide,1,Knafo
AMontezuma,Gregobiwan64,1,Knafo
RhapsodieB,a_fenetre,1,Knafo
Mahi303030,neveu_matthieu,1,Knafo
Marie85945855,SharlelyVibes,1,Knafo
Matteo707947014,michele781564,1,Knafo
Julien40198,michele781564,1,Knafo
Julien40198,Matteo707947014,1,Knafo
Julien40198,QGML_75,1,Knafo
Cgr007007,MagAvecZ,1,Knafo
Cgr007007,Gregobiwan64,1,Knafo
EricMaurici,mamich29260,1,Knafo
Michel_Zed_,mamich29260,1,Knafo
EricMaurici,Michel_Zed_,1,Knafo
Elloco1897,uberrasch,1,Knafo
Mtz661Mtz,farouk_sab88714,1,Knafo
JBOnana1,SylvieNellinge1,1,Knafo
AnonanBy,TPi9244879,1,Knafo
JulieLeprince3,crockett_sonny2,1,Knafo
EBilou,Juba_2_,1,Knafo
Eric_Naish,SebChab4,1,Knafo
Fantoma59544872,fvignals,1,Knafo
Superjanus8353,carlafrederic4,1,Knafo
Patou500413,marinanana93943,1,Knafo
fabsmont2916,i_decrion,1,Knafo
AMontezuma,fabsmont2916,1,Knafo
DAVdom3,baldus38,1,Knafo
PascalPlaza,SylvieNellinge1,1,Knafo
29FranceHERMAN,penhaligonne70,1,Knafo
29FranceHERMAN,MaximeTHEBAUL10,1,Knafo
MaximeTHEBAUL10,penhaligonne70,1,Knafo
CroqueuseVie,Lalonde82917097,1,Knafo
FredericN764,Lalonde82917097,1,Knafo
FredericN764,JoLeca6,1,Knafo
91Kill,GregJackeraser,1,Knafo
91Kill,Bahsief93,1,Knafo
R58000Bussi,xekloom0,1,Knafo
CoqDeFeu,DestDestais,1,Knafo
LucienReconq,hugues78b,1,Knafo
AnonanBy,Brigande03,1,Knafo
GenevieveV61735,NadineM97594020,1,Knafo
coupeau_denis,wande7872,1,Knafo
DavidCornee,crw_161_lx_twt,1,Knafo
DavidCornee,glimo_protocol,1,Knafo
crw_161_lx_twt,glimo_protocol,1,Knafo
Bahsief93,hueteve49,1,Knafo
Foxie802,_Gauchophobe_,1,Knafo
LeandriSimon,PhotosNicolas89,1,Knafo
fabsmont2916,mqzflr,1,Knafo
R58000Bussi,anyzett,1,Knafo
Chancelier6597,manonbymanon_,1,Knafo
hlne_collignon,marinanana93943,1,Knafo
hlne_collignon,marc_lubrano,1,Knafo
marc_lubrano,marinanana93943,1,Knafo
PrincedeCannes,naphissa007,1,Knafo
BlainKat,DonZlatano,1,Knafo
Fantoma59544872,b_imoka,1,Knafo
Michel_Zed_,marinanana93943,1,Knafo
EBilou,ilsosentout,1,Knafo
AlicedSilver,MaximeLisbonn,1,Knafo
Bahsief93,Elloco1897,1,Knafo
ElisaMaFrance,Elloco1897,1,Knafo
Bahsief93,ElisaMaFrance,1,Knafo
Magdamary85,merlin_thanael,1,Knafo
Bastel48,BobSpongiaBob,1,Knafo
Bahsief93,reginegarciadi1,1,Knafo
reaa788,terroiravie,1,Knafo
Eggius_Galia,FredericN764,1,Knafo
JSPizzuto,renarddiana1,1,Knafo
PatrioteZfr,renarddiana1,1,Knafo
JSPizzuto,PatrioteZfr,1,Knafo
p_duval,reaa788,1,Knafo
Juba_2_,p_duval,1,Knafo
GenevieveV61735,p_duval,1,Knafo
EBilou,GenevieveV61735,1,Knafo
R58000Bussi,johnnypasgood,1,Knafo
a_pastoi,raeva89,1,Knafo
JSPizzuto,Jean_Mapine,1,Knafo
AMontezuma,CarlaPi83500,1,Knafo
ThemisTitanide,oopsolog,1,Knafo
HRm41606749,ThemisTitanide,1,Knafo
Thomas_France75,hueteve49,1,Knafo
Al1bore,Neness_52,1,Knafo
AaBb380865,MaximeTHEBAUL10,1,Knafo
AaBb380865,brual0746,1,Knafo
Karm5624,MaximeTHEBAUL10,1,Knafo
MaximeTHEBAUL10,brual0746,1,Knafo
Karm5624,brual0746,1,Knafo
GrardCORBREJAU1,RoidIthaque21,1,Knafo
Romarin_2084,reginegarciadi1,1,Knafo
BatricePLAISAN1,Magnifaik26,1,Knafo
ErnandesBA75,SbastienBe33954,1,Knafo
CPeillan,penhaligonne70,1,Knafo
Danbay33,PatrioteZfr,1,Knafo
canlou62,wande7872,1,Knafo
PhotosNicolas89,ilsosentout,1,Knafo
59vivie,MouloudiaDZ3,1,Knafo
Beatrice_Rosen,MaryC7773,1,Knafo
GaroHenrys,MaryC7773,1,Knafo
ClaudeMipi,Magdamary85,1,Knafo
Michel_Zed_,MisterChris2024,1,Knafo
Bahsief93,Escalet83,1,Knafo
91Kill,romuald_correia,1,Knafo
91Kill,hudsuck3r,1,Knafo
fredsubirana,hudsuck3r,1,Knafo
jfaix13,kris_honneur,1,Knafo
CorieNKC,hostrogo,1,Knafo
Franstill13,hostrogo,1,Knafo
Bahsief93,LucienReconq,1,Knafo
fvignals,marvel_gama,1,Knafo
AMontezuma,Loumir666,1,Knafo
ElisabethV76794,Loumir666,1,Knafo
OlivierGdu49,glimo_protocol,1,Knafo
JoLeca6,glimo_protocol,1,Knafo
JoLeca6,OlivierGdu49,1,Knafo
marinanana93943,reaa788,1,Knafo
OncleBibi,reaa788,1,Knafo
IIFBS_,PhotosNicolas89,1,Knafo
NadineM97594020,SaplanLena,1,Knafo
MENPARLEPA,glimo_protocol,1,Knafo
FanniFelic9897,liobreys,1,Knafo
FanniFelic9897,MENPARLEPA,1,Knafo
patrick5152,pepitamalauva,1,Knafo
MartyMcFly0004,Zemm63,1,Knafo
CroqueuseVie,KINGDHARMA1,1,Knafo
cedtom11,oopsolog,1,Knafo
AMontezuma,cedtom11,1,Knafo
AMontezuma,oopsolog,1,Knafo
BentaYacine,MARCLANDES40,1,Knafo
Destexhe,manonbymanon_,1,Knafo
Destexhe,QGML_75,1,Knafo
QGML_75,manonbymanon_,1,Knafo
BoucebsiD,LucienReconq,1,Knafo
Bahsief93,marc_lubrano,1,Knafo
Cgr007007,marc_lubrano,1,Knafo
Fred_Rel,GrardCORBREJAU1,1,Knafo
MARCLANDES40,lilou45187969,1,Knafo
la_chikirou_tourne,richerbenjamin,1,Knafo
Brigande03,jiaiffert,1,Knafo
Brigande03,MissUggy,1,Knafo
Bahsief93,BonNationaliste,1,Knafo
EBilou,viennoiscafe,1,Knafo
Blodwyn_KH69_,Lototoooo,1,Knafo
GenevieveV61735,PhotosNicolas89,1,Knafo
DupuyTheop25968,Ghostlemanager,1,Knafo
SylvieNellinge1,colette66003,1,Knafo
BenjaminDa88978,pepitamalauva,1,Knafo
HenriGauthier19,OlivierGdu49,1,Knafo
OlivierGdu49,Superjanus8353,1,Knafo
HenriGauthier19,Superjanus8353,1,Knafo
Celimene79,HenriGauthier19,1,Knafo
Celimene79,Superjanus8353,1,Knafo
Celimene79,JTitAbitboul,1,Knafo
